Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.1162
19.21,11.67,0.04,0.4233
3.28,3.8,0.0,0.5635
4.29,3.1,0.05,0.5112
12.48,2.35,0.04,0.5287
1.25,3.31,0.02,0.7574
18.65,10.54,0.01,0.4691
16.78,13.4,0.0,0.4128
1.92,12.78,0.05,0.372
4.88,13.61,0.04,0.4219
10.86,4.17,0.04,0.5153
16.75,3.74,0.0,0.4283
11.1,14.91,0.01,0.4753
8.87,6.84,0.01,0.5517
19.7,7.67,0.0,0.4335
10.63,0.44,0.01,0.5618
9.12,8.34,0.01,0.5431
6.05,13.41,0.01,0.4996
15.76,11.74,0.05,0.4017
9.7,1.29,0.04,0.5916
18.76,1.9,0.01,0.4657
16.88,3.81,0.04,0.4854
15.6,1.26,0.03,0.5286
2.57,13.22,0.05,0.3523
17.53,6.18,0.04,0.4579
3.34,8.07,0.01,0.5382
18.15,13.9,0.03,0.4423
1.84,11.49,0.05,0.3847
15.59,6.4,0.02,0.5033
1.98,4.58,0.04,0.5941
5.1,11.91,0.01,0.5246
6.83,1.78,0.03,0.6199
13.48,2.32,0.01,0.5277
10.43,11.34,0.01,0.521
17.87,7.38,0.04,0.4561
10.4,2.34,0.04,0.5532
7.33,5.2,0.04,0.565
5.77,11.54,0.03,0.5533
14.71,1.0,0.02,0.5425
8.64,3.24,0.05,0.5257
0.4,12.92,0.03,0.6134
2.39,11.24,0.02,0.6308
2.17,4.67,0.0,0.5442
5.62,2.77,0.02,0.6405
2.52,3.29,0.05,0.5246
14.91,0.75,0.01,0.5155
8.75,1.02,0.02,0.5962
3.99,2.64,0.04,0.6554
15.9,9.69,0.01,0.5103
6.33,0.28,0.05,0.5841
9.42,1.97,0.04,0.5713
15.2,5.03,0.04,0.4894
14.53,11.05,0.04,0.4545
14.34,13.24,0.04,0.4149
5.26,5.51,0.01,0.5626
0.21,3.46,0.03,0.6006
15.93,11.41,0.05,0.3853
10.35,1.82,0.02,0.5721
2.02,3.64,0.02,0.7294
6.86,12.98,0.0,0.47
8.74,9.05,0.04,0.467
4.18,12.47,0.03,0.5908
6.1,14.39,0.04,0.3888
10.29,10.43,0.04,0.4508
17.85,10.97,0.05,0.3818
13.99,5.29,0.05,0.4848
15.4,6.08,0.02,0.4598
7.45,7.1,0.03,0.5956
18.94,5.94,0.05,0.4606
0.02,6.76,0.04,0.291
10.38,10.49,0.03,0.5255
12.53,9.29,0.02,0.5246
2.31,6.99,0.0,0.5793
18.64,12.1,0.03,0.4379
19.72,13.74,0.04,0.4157
6.99,14.37,0.01,0.5011
2.57,12.43,0.04,0.4891
5.32,7.29,0.0,0.4654
18.94,6.33,0.02,0.4576
4.31,5.54,0.01,0.5669
14.56,7.32,0.03,0.5069
6.13,8.24,0.0,0.4631
7.81,8.7,0.04,0.4829
14.38,6.23,0.03,0.5234
3.35,7.05,0.0,0.5404
5.7,12.95,0.03,0.543
3.77,13.62,0.03,0.5792
4.82,4.05,0.04,0.5784
0.51,4.81,0.03,0.6905
19.11,13.98,0.01,0.458
0.38,5.68,0.01,0.7167
2.96,13.24,0.04,0.4863
1.15,11.12,0.04,0.4494
12.24,3.95,0.05,0.4931
1.88,10.34,0.04,0.4917
15.91,2.89,0.01,0.4744
10.94,8.28,0.01,0.5196
2.62,12.03,0.05,0.369
9.92,3.12,0.02,0.5959
7.42,10.65,0.03,0.5694
0.49,4.01,0.03,0.7166